term,type,iri,label,definition,dpvtype,subclassof,hasbroader,scopenote,created,modified,vocab,namespace
3LikelihoodLevels,class,https://w3id.org/dpv/risk#3LikelihoodLevels,3 Likelihood Levels,Scale with 3 Likelihood Levels from High to Low,https://w3id.org/dpv#Likelihood,,https://w3id.org/dpv#Likelihood,,2022-08-18,,risk,https://w3id.org/dpv/risk
3RiskLevels,class,https://w3id.org/dpv/risk#3RiskLevels,3 Risk Levels,Scale with 3 Risk Levels from High to Low,https://w3id.org/dpv#RiskLevel,,https://w3id.org/dpv#RiskLevel,,2022-08-18,,risk,https://w3id.org/dpv/risk
3SeverityLevels,class,https://w3id.org/dpv/risk#3SeverityLevels,3 Severity Levels,Scale with 3 Severity Levels from High to Low,https://w3id.org/dpv#Severity,,https://w3id.org/dpv#Severity,,2022-08-18,,risk,https://w3id.org/dpv/risk
5LikelihoodLevels,class,https://w3id.org/dpv/risk#5LikelihoodLevels,5 Likelihood Levels,Scale with 5 Likelihood Levels from Very High to Very Low,https://w3id.org/dpv#Likelihood,,https://w3id.org/dpv#Likelihood,,2022-08-18,,risk,https://w3id.org/dpv/risk
5RiskLevels,class,https://w3id.org/dpv/risk#5RiskLevels,5 Risk Levels,Scale with 5 Risk Levels from Very High to Very Low,https://w3id.org/dpv#RiskLevel,,https://w3id.org/dpv#RiskLevel,,2022-08-18,,risk,https://w3id.org/dpv/risk
5SeverityLevels,class,https://w3id.org/dpv/risk#5SeverityLevels,5 Severity Levels,Scale with 5 Severity Levels from Very High to Very Low,https://w3id.org/dpv#Severity,,https://w3id.org/dpv#Severity,,2022-08-18,,risk,https://w3id.org/dpv/risk
7LikelihoodLevels,class,https://w3id.org/dpv/risk#7LikelihoodLevels,7 Likelihood Levels,Scale with 7 Likelihood Levels from Extremely High to Extremely Low,https://w3id.org/dpv#Likelihood,,https://w3id.org/dpv#Likelihood,,2022-08-18,,risk,https://w3id.org/dpv/risk
7RiskLevels,class,https://w3id.org/dpv/risk#7RiskLevels,7 Risk Levels,Scale with 7 Risk Levels from Extremely High to Extremely Low,https://w3id.org/dpv#RiskLevel,,https://w3id.org/dpv#RiskLevel,,2022-08-18,,risk,https://w3id.org/dpv/risk
7SeverityLevels,class,https://w3id.org/dpv/risk#7SeverityLevels,7 Severity Levels,Scale with 7 Severity Levels from Extremely High to Extremely Low,https://w3id.org/dpv#Severity,,https://w3id.org/dpv#Severity,,2022-08-18,,risk,https://w3id.org/dpv/risk
AccidentalIncident,class,https://w3id.org/dpv/risk#AccidentalIncident,Accidental Incident,Incident caused due to accidental actions arising from human or human-controlled situations,,https://w3id.org/dpv/risk#Incident,https://w3id.org/dpv/risk#Incident,,2024-05-19,,risk,https://w3id.org/dpv/risk
AvailabilityIncident,class,https://w3id.org/dpv/risk#AvailabilityIncident,Availability Incident,Incident where the availability of information or system has been affected,,https://w3id.org/dpv/risk#Incident,https://w3id.org/dpv/risk#Incident,,2024-05-19,,risk,https://w3id.org/dpv/risk
AvoidSource,class,https://w3id.org/dpv/risk#AvoidSource,Avoid Source,Control that avoids the risk source,https://w3id.org/dpv/risk#RiskControl,,https://w3id.org/dpv/risk#SourceControl,,2024-05-19,,risk,https://w3id.org/dpv/risk
Benefit,class,https://w3id.org/dpv/risk#Benefit,Benefit,Impact(s) that acts as or causes benefits,https://w3id.org/dpv#Consequence,,https://w3id.org/dpv#Consequence,,2022-03-23,,risk,https://w3id.org/dpv/risk
ChangeConsequence,class,https://w3id.org/dpv/risk#ChangeConsequence,Change Consequence,Control that changes Consequence,https://w3id.org/dpv/risk#RiskControl,,https://w3id.org/dpv/risk#ConsequenceControl,,2024-05-19,,risk,https://w3id.org/dpv/risk
ChangeImpact,class,https://w3id.org/dpv/risk#ChangeImpact,Change Impact,Control that changes Impact,https://w3id.org/dpv/risk#RiskControl,,https://w3id.org/dpv/risk#ImpactControl,,2024-05-19,,risk,https://w3id.org/dpv/risk
CofidentialityIncident,class,https://w3id.org/dpv/risk#CofidentialityIncident,Cofidentiality Incident,Incident where the confidentiality of information or system has been affected,,https://w3id.org/dpv/risk#Incident,https://w3id.org/dpv/risk#Incident,,2024-05-19,,risk,https://w3id.org/dpv/risk
Compensation,class,https://w3id.org/dpv/risk#Compensation,Compensation,Compensation provided (as an impact),https://w3id.org/dpv#Impact,,https://w3id.org/dpv/risk#Benefit,,2024-04-14,,risk,https://w3id.org/dpv/risk
ConsequenceControl,class,https://w3id.org/dpv/risk#ConsequenceControl,Consequence Control,Risk Mitigation Measure that controls the Consequences,https://w3id.org/dpv/risk#RiskControl,,https://w3id.org/dpv/risk#RiskControl,,2024-05-19,,risk,https://w3id.org/dpv/risk
ContainmentControl,class,https://w3id.org/dpv/risk#ContainmentControl,Containment Control,Control to contain event,https://w3id.org/dpv/risk#RiskControl,,https://w3id.org/dpv/risk#RiskControl,,2024-05-19,,risk,https://w3id.org/dpv/risk
CrossBorderIncident,class,https://w3id.org/dpv/risk#CrossBorderIncident,Cross-Border Incident,Incident involving cross-border or multiple jurisdictions,,https://w3id.org/dpv/risk#Incident,https://w3id.org/dpv/risk#Incident,,2024-05-19,,risk,https://w3id.org/dpv/risk
Cryptojacking,class,https://w3id.org/dpv/risk#Cryptojacking,Cryptojacking,Cryptojacking or hidden cryptomining is a type of cybercrime where a criminal secretly uses a victim’s computing power to generate cryptocurrency,https://w3id.org/dpv#Consequence,,https://w3id.org/dpv/risk#Detriment,,2022-08-17,,risk,https://w3id.org/dpv/risk
Damage,class,https://w3id.org/dpv/risk#Damage,Damage,Impact that acts as or causes damages,https://w3id.org/dpv#Consequence,,https://w3id.org/dpv#Consequence,,2022-03-30,,risk,https://w3id.org/dpv/risk
DeliberateIncident,class,https://w3id.org/dpv/risk#DeliberateIncident,Deliberate Incident,Incident caused due to deliberate actions of a human,,https://w3id.org/dpv/risk#Incident,https://w3id.org/dpv/risk#Incident,,2024-05-19,,risk,https://w3id.org/dpv/risk
DetectionControl,class,https://w3id.org/dpv/risk#DetectionControl,Detection Control,Control to detect event,https://w3id.org/dpv/risk#RiskControl,,https://w3id.org/dpv/risk#RiskControl,,2024-05-19,,risk,https://w3id.org/dpv/risk
Detriment,class,https://w3id.org/dpv/risk#Detriment,Detriment,Impact that acts as or causes detriments,https://w3id.org/dpv#Consequence,,https://w3id.org/dpv#Consequence,,2022-03-23,,risk,https://w3id.org/dpv/risk
EvironmentalIncident,class,https://w3id.org/dpv/risk#EvironmentalIncident,Evironmental Incident,Incident caused due to environmental factors outside human controls,,https://w3id.org/dpv/risk#Incident,https://w3id.org/dpv/risk#Incident,,2024-05-19,,risk,https://w3id.org/dpv/risk
ExtremelyHighLikelihood,class,https://w3id.org/dpv/risk#ExtremelyHighLikelihood,Extremely High Likelihood,Level where Likelihood is Extremely High,https://w3id.org/dpv#Likelihood,,https://w3id.org/dpv/risk#7LikelihoodLevels,The suggested quantitative value for this concept is 0.99 on a scale of 0 to 1;The suggested quantitative value for this concept is 0.99 on a scale of 0 to 1;The suggested quantitative value for this concept is 0.99 on a scale of 0 to 1,2022-08-18,,risk,https://w3id.org/dpv/risk
ExtremelyHighRisk,class,https://w3id.org/dpv/risk#ExtremelyHighRisk,Extremely High Risk,Level where Risk is Extremely High,https://w3id.org/dpv#RiskLevel,,https://w3id.org/dpv/risk#7RiskLevels,The suggested quantitative value for this concept is 0.99 on a scale of 0 to 1;The suggested quantitative value for this concept is 0.99 on a scale of 0 to 1;The suggested quantitative value for this concept is 0.99 on a scale of 0 to 1,2022-08-18,,risk,https://w3id.org/dpv/risk
ExtremelyHighSeverity,class,https://w3id.org/dpv/risk#ExtremelyHighSeverity,Extremely High Severity,Level where Severity is Extremely High,https://w3id.org/dpv#Severity,,https://w3id.org/dpv/risk#7SeverityLevels,The suggested quantitative value for this concept is 0.99 on a scale of 0 to 1;The suggested quantitative value for this concept is 0.99 on a scale of 0 to 1;The suggested quantitative value for this concept is 0.99 on a scale of 0 to 1,2022-08-18,,risk,https://w3id.org/dpv/risk
ExtremelyLowLikelihood,class,https://w3id.org/dpv/risk#ExtremelyLowLikelihood,Extremely Low Likelihood,Level where Likelihood is Extremely Low,https://w3id.org/dpv#Likelihood,,https://w3id.org/dpv/risk#7LikelihoodLevels,The suggested quantitative value for this concept is 0.01 on a scale of 0 to 1;The suggested quantitative value for this concept is 0.01 on a scale of 0 to 1;The suggested quantitative value for this concept is 0.01 on a scale of 0 to 1,2022-08-18,,risk,https://w3id.org/dpv/risk
ExtremelyLowRisk,class,https://w3id.org/dpv/risk#ExtremelyLowRisk,Extremely Low Risk,Level where Risk is Extremely Low,https://w3id.org/dpv#RiskLevel,,https://w3id.org/dpv/risk#7RiskLevels,The suggested quantitative value for this concept is 0.01 on a scale of 0 to 1;The suggested quantitative value for this concept is 0.01 on a scale of 0 to 1;The suggested quantitative value for this concept is 0.01 on a scale of 0 to 1,2022-08-18,,risk,https://w3id.org/dpv/risk
ExtremelyLowSeverity,class,https://w3id.org/dpv/risk#ExtremelyLowSeverity,Extremely Low Severity,Level where Severity is Extremely Low,https://w3id.org/dpv#Severity,,https://w3id.org/dpv/risk#7SeverityLevels,The suggested quantitative value for this concept is 0.01 on a scale of 0 to 1;The suggested quantitative value for this concept is 0.01 on a scale of 0 to 1;The suggested quantitative value for this concept is 0.01 on a scale of 0 to 1,2022-08-18,,risk,https://w3id.org/dpv/risk
Fee,class,https://w3id.org/dpv/risk#Fee,Fee,Fee provided as compensation (as an impact),https://w3id.org/dpv#Impact,,https://w3id.org/dpv/risk#Compensation,,2024-04-14,,risk,https://w3id.org/dpv/risk
HaltSource,class,https://w3id.org/dpv/risk#HaltSource,Halt Source,Control that halts the risk source or prevents it from materialising,https://w3id.org/dpv/risk#RiskControl,,https://w3id.org/dpv/risk#SourceControl,,2024-05-19,,risk,https://w3id.org/dpv/risk
Harm,class,https://w3id.org/dpv/risk#Harm,Harm,Impact that acts as or causes harms,https://w3id.org/dpv#Impact,,https://w3id.org/dpv/risk#Damage,,2022-08-13,,risk,https://w3id.org/dpv/risk
HighLikelihood,class,https://w3id.org/dpv/risk#HighLikelihood,High Likelihood,Level where Likelihood is High,https://w3id.org/dpv#Likelihood,,https://w3id.org/dpv/risk#7LikelihoodLevels;https://w3id.org/dpv/risk#5LikelihoodLevels;https://w3id.org/dpv/risk#3LikelihoodLevels,The suggested quantitative value for this concept is 0.75 on a scale of 0 to 1;The suggested quantitative value for this concept is 0.75 on a scale of 0 to 1;The suggested quantitative value for this concept is 0.75 on a scale of 0 to 1;The suggested quantitative value for this concept is 0.75 on a scale of 0 to 1;The suggested quantitative value for this concept is 0.75 on a scale of 0 to 1;The suggested quantitative value for this concept is 0.75 on a scale of 0 to 1;The suggested quantitative value for this concept is 0.75 on a scale of 0 to 1;The suggested quantitative value for this concept is 0.75 on a scale of 0 to 1;The suggested quantitative value for this concept is 0.75 on a scale of 0 to 1,2022-08-18,,risk,https://w3id.org/dpv/risk
HighRisk,class,https://w3id.org/dpv/risk#HighRisk,High Risk,Level where Risk is High,https://w3id.org/dpv#RiskLevel,,https://w3id.org/dpv/risk#3RiskLevels;https://w3id.org/dpv/risk#5RiskLevels;https://w3id.org/dpv/risk#7RiskLevels,The suggested quantitative value for this concept is 0.75 on a scale of 0 to 1;The suggested quantitative value for this concept is 0.75 on a scale of 0 to 1;The suggested quantitative value for this concept is 0.75 on a scale of 0 to 1;The suggested quantitative value for this concept is 0.75 on a scale of 0 to 1;The suggested quantitative value for this concept is 0.75 on a scale of 0 to 1;The suggested quantitative value for this concept is 0.75 on a scale of 0 to 1;The suggested quantitative value for this concept is 0.75 on a scale of 0 to 1;The suggested quantitative value for this concept is 0.75 on a scale of 0 to 1;The suggested quantitative value for this concept is 0.75 on a scale of 0 to 1,2022-08-18,,risk,https://w3id.org/dpv/risk
HighSeverity,class,https://w3id.org/dpv/risk#HighSeverity,High Severity,Level where Severity is High,https://w3id.org/dpv#Severity,,https://w3id.org/dpv/risk#5SeverityLevels;https://w3id.org/dpv/risk#3SeverityLevels;https://w3id.org/dpv/risk#7SeverityLevels,The suggested quantitative value for this concept is 0.75 on a scale of 0 to 1;The suggested quantitative value for this concept is 0.75 on a scale of 0 to 1;The suggested quantitative value for this concept is 0.75 on a scale of 0 to 1;The suggested quantitative value for this concept is 0.75 on a scale of 0 to 1;The suggested quantitative value for this concept is 0.75 on a scale of 0 to 1;The suggested quantitative value for this concept is 0.75 on a scale of 0 to 1;The suggested quantitative value for this concept is 0.75 on a scale of 0 to 1;The suggested quantitative value for this concept is 0.75 on a scale of 0 to 1;The suggested quantitative value for this concept is 0.75 on a scale of 0 to 1,2022-08-18,,risk,https://w3id.org/dpv/risk
IdentificationControl,class,https://w3id.org/dpv/risk#IdentificationControl,Identification Control,Control to identify characteristics of event,https://w3id.org/dpv/risk#RiskControl,,https://w3id.org/dpv/risk#RiskControl,,2024-05-19,,risk,https://w3id.org/dpv/risk
ImpactControl,class,https://w3id.org/dpv/risk#ImpactControl,Impact Control,Risk Mitigation Measure that controls Impacts,https://w3id.org/dpv/risk#RiskControl,,https://w3id.org/dpv/risk#RiskControl,,2024-05-19,,risk,https://w3id.org/dpv/risk
Incident,class,https://w3id.org/dpv/risk#Incident,Incident,An actual or occured event,,,,Incident is realised or materialised risk;Incident is realised or materialised risk,2024-05-19,,risk,https://w3id.org/dpv/risk
IncidentAssessmentReport,class,https://w3id.org/dpv/risk#IncidentAssessmentReport,Incident Assessment Report,A report describing the assessment of an incident in terms of its effects or impacts,,https://w3id.org/dpv/risk#IncidentReport,https://w3id.org/dpv/risk#IncidentReport,,2024-05-19,,risk,https://w3id.org/dpv/risk
IncidentConcludingReport,class,https://w3id.org/dpv/risk#IncidentConcludingReport,Incident Concluding Report,A report describing the conclusion of an investigation regarding a Incident where all relevant facts are known,,https://w3id.org/dpv/risk#IncidentReport,https://w3id.org/dpv/risk#IncidentReport,,2024-05-19,,risk,https://w3id.org/dpv/risk
IncidentDetectionReport,class,https://w3id.org/dpv/risk#IncidentDetectionReport,Incident Detection Report,A report describing the detection of a Incident,,https://w3id.org/dpv/risk#IncidentReport,https://w3id.org/dpv/risk#IncidentReport,,2024-05-19,,risk,https://w3id.org/dpv/risk
IncidentHandlingReport,class,https://w3id.org/dpv/risk#IncidentHandlingReport,Incident Handling Report,A report describing the response to or handling of an incident regarding the mitigation of its effects and the prevention of its recurrence,,https://w3id.org/dpv/risk#IncidentReport,https://w3id.org/dpv/risk#IncidentReport,,2024-05-19,,risk,https://w3id.org/dpv/risk
IncidentIdentifier,class,https://w3id.org/dpv/risk#IncidentIdentifier,Incident Identifier,Identifier associated with an incident,,https://w3id.org/dpv#Identifier,https://w3id.org/dpv#Identifier,,2024-05-19,,risk,https://w3id.org/dpv/risk
IncidentImpactAssessment,class,https://w3id.org/dpv/risk#IncidentImpactAssessment,Incident Impact Assessment,An impact assessment associated with a incident,,https://w3id.org/dpv#ImpactAssessment,https://w3id.org/dpv#ImpactAssessment,,2024-05-19,,risk,https://w3id.org/dpv/risk
IncidentMitigationMeasure,class,https://w3id.org/dpv/risk#IncidentMitigationMeasure,Incident Mitigation Measure,A mitigation measure taken in response specifically to mitigate an incident and prevent it from occuring again,,https://w3id.org/dpv#RiskMitigationMeasure,https://w3id.org/dpv#RiskMitigationMeasure,,2024-05-19,,risk,https://w3id.org/dpv/risk
IncidentNotice,class,https://w3id.org/dpv/risk#IncidentNotice,Incident Notice,Notice associated with an Incident,,https://w3id.org/dpv#Notice,https://w3id.org/dpv#Notice,,2024-05-19,,risk,https://w3id.org/dpv/risk
IncidentOngoingReport,class,https://w3id.org/dpv/risk#IncidentOngoingReport,Incident Ongoing Report,A report describing on ongoing investigation regarding a Incident where facts and extent of the investigation are being investigated,,https://w3id.org/dpv/risk#IncidentReport,https://w3id.org/dpv/risk#IncidentReport,,2024-05-19,,risk,https://w3id.org/dpv/risk
